Logistic Regression : 0
{'results': (0.929, 0.929, 0.929), 'parameters': {'C': 20, 'solver': 'lbfgs', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 20, 'solver': 'lbfgs', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 20, 'solver': 'lbfgs', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 20, 'solver': 'lbfgs', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.877, 0.877, 0.877), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.889, 0.889, 0.889), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.922, 0.922, 0.922), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.929, 0.929, 0.929), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.932, 0.932, 0.932), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 50, 'solver': 'lbfgs', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.877, 0.877, 0.877), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.889, 0.889, 0.889), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.922, 0.922, 0.922), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.929, 0.929, 0.929), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 100, 'solver': 'lbfgs', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.932, 0.932, 0.932), 'parameters': {'C': 1, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l1', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 5, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l1', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.929, 0.929, 0.929), 'parameters': {'C': 10, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l1', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.927, 0.927, 0.927), 'parameters': {'C': 20, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l1', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.924, 0.924, 0.924), 'parameters': {'C': 50, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l1', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.922, 0.922, 0.922), 'parameters': {'C': 100, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l1', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 1, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 5, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 10, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 20, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 50, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.92, 0.92, 0.92), 'parameters': {'C': 100, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.932, 0.932, 0.932), 'parameters': {'C': 1, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': True}}
{'results': (0.934, 0.934, 0.934), 'parameters': {'C': 5, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': True}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 10, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': True}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 20, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': True}}
{'results': (0.93, 0.93, 0.93), 'parameters': {'C': 50, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': True}}
{'results': (0.926, 0.926, 0.926), 'parameters': {'C': 100, 'solver': 'liblinear', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': True}}
{'results': (0.908, 0.908, 0.908), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.908, 0.908, 0.908), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.934, 0.934, 0.934), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.934, 0.934, 0.934), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.934, 0.934, 0.934), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 1, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.907, 0.907, 0.907), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.934, 0.934, 0.934), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.932, 0.932, 0.932), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.932, 0.932, 0.932), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 50, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.932, 0.932, 0.932), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 5, 'solver': 'newton-cg', 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.909, 0.909, 0.909), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 5, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 10, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
{'results': (0.931, 0.931, 0.931), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'multinomial', 'dual': False}}
{'results': (0.933, 0.933, 0.933), 'parameters': {'C': 10, 'solver': 'newton-cg', 'max_iter': 20, 'penalty': 'l2', 'multi_class': 'ovr', 'dual': False}}
